time_iso8601,forks_cumulative
2025-12-08 00:00:00+00:00,1
2025-12-09 00:00:00+00:00,2
2025-12-10 00:00:00+00:00,3
2025-12-15 00:00:00+00:00,4
2025-12-16 00:00:00+00:00,5
2025-12-21 00:00:00+00:00,6
2026-02-09 00:00:00+00:00,7
2026-02-26 00:00:00+00:00,8
2026-02-27 00:00:00+00:00,9
2026-03-06 00:00:00+00:00,10
2026-03-07 00:00:00+00:00,12
2026-03-08 00:00:00+00:00,14
2026-03-10 00:00:00+00:00,15
2026-03-11 00:00:00+00:00,16
2026-03-12 00:00:00+00:00,17
2026-03-14 00:00:00+00:00,18
2026-03-16 00:00:00+00:00,19
2026-03-23 00:00:00+00:00,20
2026-03-24 00:00:00+00:00,21
2026-03-25 00:00:00+00:00,22
2026-03-26 00:00:00+00:00,23
2026-03-27 00:00:00+00:00,24
2026-03-29 00:00:00+00:00,25
2026-03-30 00:00:00+00:00,26
2026-04-07 00:00:00+00:00,27
2026-04-10 00:00:00+00:00,29
2026-04-14 00:00:00+00:00,30
2026-04-21 00:00:00+00:00,31
2026-05-13 00:00:00+00:00,32
2026-05-24 00:00:00+00:00,33
2026-06-08 00:00:00+00:00,34
