time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,8,8,84,9
2026-06-04 00:00:00+00:00,2,2,40,6
2026-06-05 00:00:00+00:00,4,3,21,10
2026-06-06 00:00:00+00:00,6,4,25,10
2026-06-07 00:00:00+00:00,2,2,35,13
2026-06-08 00:00:00+00:00,20,15,20,11
2026-06-09 00:00:00+00:00,17,8,60,12
2026-06-10 00:00:00+00:00,27,12,286,127
2026-06-11 00:00:00+00:00,23,11,220,65
2026-06-12 00:00:00+00:00,50,17,59,17
2026-06-13 00:00:00+00:00,24,14,35,19
2026-06-14 00:00:00+00:00,23,11,42,15
2026-06-15 00:00:00+00:00,23,11,80,17
2026-06-16 00:00:00+00:00,26,9,27,12
