url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,186,118
/DesirePathGames/Slay-The-Robot/releases/tag/major,46,31
/DesirePathGames/Slay-The-Robot/wiki,33,25
/DesirePathGames/Slay-The-Robot/wiki/Animations,18,16
/DesirePathGames/Slay-The-Robot/wiki/Cards,16,10
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,15,6
/DesirePathGames/Slay-The-Robot/tree/main/autoload,13,7
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,12,11
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,11,10
/DesirePathGames/Slay-The-Robot/tree/main/scripts,10,7
